fecha,Crédito SF sector privado,Crédito empresarial,Crédito consumo,Crédito hipotecario,Tasa activa TAMN,Tasa pasiva TIPMN,Tasa referencia BCRP,Tipo de cambio,Índice BVL,IPC Lima,PBI desestacionalizado,Demanda interna,Reservas internacionales,Liquidez M1,Liquidez M2,Liquidez M3,Tasa interbancaria,IPC Subyacente,embi_peru
2013-12-01,221786.8700492,139985.805902,41948.982,32354.75112,15.8765,2.2697,4.0,2.78525,15753.65,78.4635187293942,145.966015714236,165.568961031619,65663.09652,62228.834108,247426.608931,323804.428127,4.0884,79.091941034264,176.54545454545453
2014-01-01,222513.96163796,139744.31080596,42070.19048,32605.85712,15.9881,2.2552,4.0,2.80893181818182,15452.05,78.7121276543314,145.063403185515,155.858054885218,65073.81412,59918.018607,244555.036565,323412.99570254,4.121,79.3267688658016,176.0
2014-02-01,224548.146316,140893.14097924,42414.28544,32932.1074,15.8071,2.2636,4.0,2.81265,15441.26,79.1850605759155,146.775450836488,145.403428654809,65176.50984,60119.991148,246736.394746,325877.4761864,4.1738,79.5416043763474,182.25
2014-03-01,227580.51229443,142628.54529032,42717.0788,33325.4858,15.6132,2.2732,4.0,2.80638095238095,14298.92,79.5956817391094,145.81001242282,158.259819346391,64953.75254,60927.171467,247497.959466,326909.8639242,4.0133,80.1818853487965,167.23809523809524
2014-04-01,229530.27367721,144296.03835476,43018.66116,33536.26668,15.5293,2.2957,4.0,2.794375,15528.38,79.9086695055395,146.393851050839,163.744607084812,64729.17838,59902.825281,248756.487973,327504.60709942,4.0539,80.3636397855173,153.54545454545453
2014-05-01,231307.79128953,146348.48243796,43692.82492,33885.91168,15.6132,2.3419,4.0,2.78697619047619,15753.25,80.0884883767056,145.456142971842,164.463831604902,64629.29071,59270.166587,250683.925167,328210.47780203,3.954,80.5491957526667,149.4090909090909
2014-06-01,235001.421016,148254.37586976,44210.78328,34326.94736,16.0437,2.403,4.0,2.79423809523809,16662.28,80.215971231147,144.094980905035,156.819673812124,64581.14525,59699.738732,253805.29792,331885.9344868,3.9999,80.6929239988867,145.42857142857142
2014-07-01,237303.6787244,149713.94119712,44134.52064,34455.35844,15.9294,2.3829,3.75,2.78609523809524,16866.07,80.5635571221473,145.887131294091,163.483157017654,65535.81599,60920.827367,258456.406438,336166.1899824,3.8491,80.8519482314611,146.34782608695653
2014-08-01,239901.46023668,149898.36748112,44442.29564,34746.89776,15.8752,2.3319,3.75,2.81447619047619,17010.82,80.4945788992393,146.335649193581,159.530022180526,64850.15201,61600.808449,262296.349531,339719.66845644,3.7588,80.9915114330427,157.28571428571428
2014-10-01,246094.13245284,150707.80133192,45437.97796,35470.69988,15.5535,2.3087,3.5,2.90604545454545,15673.23,80.9292246090764,148.317666345584,166.298478619768,63529.65053,61736.258655,264533.080385,345851.01921688,3.5292,81.2963493691654,170.2608695652174
2014-11-01,249831.85099824,152371.14794424,46030.10388,35890.45764,15.6087,2.2923,3.5,2.925075,15106.46,80.8082672658879,147.497318721597,162.271862080815,63249.67707,63174.02653,266055.883472,347518.269334,3.6415,81.4702148217854,165.35
