fecha,Crédito SF sector privado,Crédito empresarial,Crédito consumo,Crédito hipotecario,Tasa activa TAMN,Tasa pasiva TIPMN,Tasa referencia BCRP,Tipo de cambio,Índice BVL,IPC Lima,PBI desestacionalizado,Demanda interna,Reservas internacionales,Liquidez M1,Liquidez M2,Liquidez M3,Tasa interbancaria,IPC Subyacente,indice_precios_inmuebles,embi_peru
2012-03-31,-0.976318411337556,-0.8905186901195719,-0.9040927911208226,-0.9204380793735852,0.7626246644933932,0.14032591727402807,0.220277185636286,-1.3838384314908079,0.6217811804052235,-0.8796078597650503,-0.8153991329022598,-1.0119415413483808,-0.5126093256571643,-0.8415126094569995,-0.9184780392957441,-0.933509208165195,0.20397178180229392,-0.9257224774989337,-0.48055976063386846,0.23460366382766085
2012-06-30,-0.9242610137348092,-0.827611526546245,-0.8556403299700867,-0.8472210978716341,0.9082173278010637,0.08692680946380672,0.220277185636286,-1.4253179745576279,0.3685588226207779,-0.8218148095631832,-0.7302355578523064,-0.558702630842695,-0.25978401971529774,-0.8078739695297859,-0.8696522158006443,-0.9043632986361064,0.20538195938790355,-0.8677170452972616,-0.25656155060163616,-0.05266115322252031
2012-09-30,-0.8765091564559995,-0.7432276076315255,-0.8127181294316728,-0.7664467077595941,0.9086100755804729,0.08341678923088251,0.220277185636286,-1.5432672128411646,0.23817734494832804,-0.7917386834076688,-0.6190472642909316,-0.5021644884343307,-0.101195203428441,-0.7497308006341896,-0.8290448601104287,-0.8751949924245154,0.2024517202489747,-0.8336160845574522,-0.14684814160625756,-0.567104127047359
2012-12-31,-0.8380692100043936,-0.6900948188651235,-0.7655386646374509,-0.689795359795372,0.8573936421844753,0.034791308937438266,0.220277185636286,-1.6263047356244371,0.22952413425800244,-0.773556746833728,-0.598833111631837,-0.37089625077761945,0.11990934494031384,-0.6854817427369729,-0.7246349798337064,-0.8022451139712834,0.20833051252145132,-0.806460524466675,-0.04627751669382669,-1.1046375347094404
2013-03-31,-0.8085670233391131,-0.670251589865514,-0.7384323696595507,-0.6292510986240528,0.8644100281896046,-0.07196010641323183,0.220277185636286,-1.6503847275690213,0.2549567693041377,-0.7490021040334547,-0.48785852457814916,-0.5528137293515097,0.41152138403304234,-0.6286787060276517,-0.6195157570048914,-0.723403304690326,0.18305719994818703,-0.7607394356944409,0.25086296600199137,-0.9455154586528235
2013-06-30,-0.74295058107632,-0.6262841460326377,-0.7019470518378892,-0.5645802078399533,0.7670616529202395,-0.11876037618555597,0.220277185636286,-1.4314929347490777,-0.4894940551651098,-0.6958159208670871,-0.41843410424286637,-0.18746453819834935,0.39287933326234625,-0.6300905405816984,-0.6120967847550516,-0.6972308336369383,0.20543690137175835,-0.6996915130736708,0.3331480227485255,-0.5675401695747576
2013-09-30,-0.6593400997876752,-0.5307691294295981,-0.666993347097005,-0.5103217513905197,0.48419833330644635,-0.09161621971760874,0.220277185636286,-1.1283678543557643,-0.5620052826626454,-0.6346680129267753,-0.3327565750792231,-0.23289964496323082,0.37718801729234686,-0.6054058110015704,-0.6176380264861249,-0.6633213132450617,0.2789675897642624,-0.6549419798711147,0.3788619431632667,0.03527408980285869
2013-12-31,-0.5974570480617274,-0.44228447781467956,-0.6138336608670325,-0.4599053375418972,-0.07699578425065254,-0.11220833841743076,0.12839013105657784,-1.1321027416935636,-0.5858166978537357,-0.624237408836315,-0.23565322763089802,-0.05215336329409317,0.31983347458609435,-0.5810660003836633,-0.5760583239748422,-0.6208007861844286,0.1696513558875861,-0.6192973069205228,0.3605763749973706,-0.05827420975703279
2014-03-31,-0.5481548078529035,-0.40103759675725215,-0.5755053459061131,-0.4147607615445344,-0.23436026613576463,-0.18409355278772013,0.082446603766724,-1.0698771360992454,-0.7055737545902726,-0.5757377952429324,-0.24525082411034235,-0.36926120591444467,0.25199205664871926,-0.5533062447176202,-0.5417180237794444,-0.5741153253916018,0.1308806292806292,-0.5685812161906598,0.5662890168637063,-0.09868680462233814
2014-06-30,-0.4931153250375903,-0.3191906527969243,-0.5312418202837476,-0.36396459182197255,-0.25794636251004593,-0.06774808213372317,0.082446603766724,-1.1130602149253237,-0.5474355677512343,-0.5155160935998905,-0.26792297621441935,-0.09106016040066564,0.22458059069932226,-0.5692785298699025,-0.5049980699363547,-0.5522902394246503,0.07588370344185259,-0.5120557259881214,0.7720016587300418,-0.5332672269212295
2014-09-30,-0.4299465493637046,-0.2636990810928172,-0.5005839226369881,-0.31810498230522705,-0.22531645240449166,-0.0685904869896249,-0.10132750539269209,-1.0397299785852216,-0.4233246075684656,-0.4829998794598164,-0.22579006650286496,-0.10243519995913422,0.2440746357045925,-0.5257841537749427,-0.43036403551492025,-0.49820383224021314,-0.05275379475713837,-0.48169764442366486,0.5251464884904389,-0.498488871338217
2014-12-31,-0.3554370076043225,-0.23191831378633898,-0.44534537712135214,-0.263457221480902,-0.29558646050428533,-0.1452961291464634,-0.1932145599724,-0.7692089342884698,-0.683632977693465,-0.45978105245463147,-0.18140564671126408,0.07643309289164489,0.11939319120898159,-0.45920942092385963,-0.3713254662329616,-0.43109233115353873,-0.11485655050781843,-0.44877651640501115,0.5434320566563355,-0.13686096526318509
2015-03-31,-0.2856533977593439,-0.2304860718128038,-0.3955565689377325,-0.22684954257430345,-0.14583279369584307,-0.23047262013209247,-0.331045141841962,-0.4533252717264795,-1.0310372323458905,-0.42043185719061527,-0.1338473812685234,-0.1981310524435543,0.04895958250382843,-0.4308524436751127,-0.3265627609752192,-0.3618252499390481,-0.2685475933446535,-0.3886026278848788,0.5434320566563355,0.15028666535775748
2015-06-30,-0.20589191332115622,-0.17023324626610045,-0.32368214736736894,-0.19137806205306276,-0.1600106347057096,-0.21050450502923262,-0.331045141841962,-0.2423229119660909,-1.0234724975171234,-0.3395017574174544,-0.07098250907420327,0.12681027107743098,-0.03301097799647865,-0.47216294307215967,-0.31795504868495983,-0.32919414382107165,-0.21505241506457792,-0.31303313057170323,0.48400396011717145,-0.1301023060885074
2015-09-30,-0.1396531886223661,-0.1071678645500968,-0.2760987383344151,-0.16450786851382285,-0.11864827847778125,-0.16443743948334386,-0.2851016145521079,-0.07199305145295049,-1.4430954589630027,-0.2777220726852701,-0.042429013479643535,0.06671123729802018,-0.03889135650461468,-0.4523666942125695,-0.33639126374823186,-0.3056860980206223,-0.15652088826446778,-0.26612990029117084,0.46571839195127535,0.34870211916745025
2015-12-31,-0.0527360587105265,-0.05938242021116715,-0.20741208798350969,-0.12236670832511291,-0.12695967067447878,0.011536103918960877,-0.14727103268254593,0.19965698088819928,-1.542968004184281,-0.24070167431157782,0.07984420855510663,0.2774169602628801,0.04927688800924359,-0.3786639218232712,-0.2647487264298355,-0.20936219021157063,-0.1478766828046267,-0.22503626070188334,0.3605763749973706,0.7914933956832625
2016-03-31,-0.017479641245918068,-0.04935024644413523,-0.16606979746816966,-0.09177512929907669,-0.12733118884418942,0.23242884818596093,0.17433365834643216,0.5153879641469875,-1.4526951953893288,-0.1789796180755682,0.1334705489383619,-0.03158390202916885,-0.04595482717574198,-0.37447105633713734,-0.24352718279238308,-0.16192361900332014,0.3297339828462106,-0.15769699463782422,0.26914853416788814,1.3004660178007375
2016-06-30,-0.02221363280614003,-0.028569991881165144,-0.12412362097940008,-0.052543573590403556,-0.14949490136871804,0.3651076129904986,0.220277185636286,0.18659803721481627,-0.9410207383525521,-0.14196183289055203,0.11873851109008805,0.19926836900255013,-0.046027893871441135,-0.40793606567987073,-0.1784020273551331,-0.150392471121538,0.30702462951950954,-0.08745678238706736,0.3514335909144222,0.48314790444484845
2016-09-30,0.030020224048103387,-0.0006399634281973504,-0.0897490850673072,-0.020369766906713136,0.011202629238952594,0.43750763032828377,0.220277185636286,0.23790920720136438,-0.6799445732164433,-0.11047046523444583,0.2385005389072647,0.1940430624955253,0.018414007757990403,-0.3407645676711044,-0.07912890714329371,-0.07011684712009411,0.20708516088740606,-0.047883474407510486,0.3971475113291635,-0.07334740712460656
2016-12-31,0.05834230305581989,0.02938542137220948,-0.03848140341902597,-0.017851452405334804,0.1732057808430397,0.3853253295321427,0.220277185636286,0.3781822191934717,-0.6503603280204177,-0.054480960998851684,0.26181977448045485,0.3391438628097649,0.032043192275585275,-0.30471330829669585,-0.044724099909809474,-0.03675424944096098,0.24197332063528174,-0.010233596219275734,0.46114699990980085,-0.3569316288412459
2017-03-31,0.045694307244389415,0.03565468317311772,-0.005393957780714332,0.009636421627172874,0.22801001827796957,0.4475228880595606,0.220277185636286,0.11380744905904615,-0.5725400508876802,0.01562320535213393,0.2738241651885275,-0.048460949132065986,0.08173547397164338,-0.30431321063790573,-0.004412886839575017,-0.019115452565619116,0.21107761171419687,0.036461694493171076,0.5022895282830682,-0.5233254572965422
2017-06-30,0.0691011876854686,0.045819716077293314,0.03211723289479128,0.04802065542988606,0.11582214582982354,0.4561341376976684,0.12839013105657784,0.051523582742475135,-0.5618983890458294,0.037607915575422715,0.323657327376411,0.23276359318894455,0.11777340625943161,-0.2890843391688919,0.06081228665132384,0.020577371513238248,0.14199722401394188,0.09435037241514477,0.424575863578008,-0.6190803963132693
2017-09-30,0.12393137926153586,0.08938937843980677,0.07065523672443362,0.08876779784992464,0.11238294905877633,0.35644956308261877,-0.10132750539269209,0.009056415442300066,-0.2882403854529709,0.06066967456943034,0.4144191866986672,0.3182186384544928,0.12649396014889225,-0.21718100885158995,0.15875586479506582,0.10143430377117675,-0.07557303205154924,0.11969006906020135,0.5114323123660166,-0.5429354789605487
2017-12-31,0.17918011661602706,0.1508208161655148,0.13675614835277178,0.16294270854115322,-0.13937899234770448,0.18773459055339142,-0.2851016145521079,0.010073823466219538,0.12075125869462035,0.04081847918380671,0.41032288611011014,0.5678053837333763,0.1427384441324913,-0.1181091266923101,0.27924301969446874,0.21162216077982185,-0.2712946925373998,0.13256031326031562,0.47028978399274923,-0.7263468580533183
2018-03-31,0.2019558453968068,0.16872653941409888,0.22667867756271998,0.2308716969816207,-0.3100756691230502,-0.06274045326808478,-0.514819251001378,-0.008322748068665406,0.28677141303168696,0.06996962877790523,0.5142694474124031,0.12818261701268202,0.10029613897597874,-0.05292357172563461,0.37798686423103484,0.314177075708071,-0.49054983610777525,0.16659106373600302,0.46571839195127535,-0.801171755754914
2018-06-30,0.272039924535736,0.25132680803026486,0.2783976062759796,0.2510881710238117,-0.7543795556839358,-0.23037901959254845,-0.606706305581086,0.040939929591746915,0.26285827649556265,0.09322919078305167,0.6552901810081535,0.539595654588685,-0.09202351874785712,-0.06364513912732903,0.3684067786497198,0.30141233493292163,-0.6041698587197539,0.22419140766655982,0.4154330794950596,-0.4317565265428414
2018-09-30,0.3199688698390305,0.29340600675901307,0.3445966503267214,0.3018240297922366,-0.7459514006339004,-0.176371508275286,-0.606706305581086,0.12405422332407959,0.1162812664817394,0.138569689841589,0.5651821422809826,0.4705508930232991,-0.09901882203265269,0.0035966046111272736,0.42935356669605684,0.34960636805105116,-0.6142974977436778,0.26331694314159587,0.5342892725733872,-0.5236452218166342
2018-12-31,0.40095349242775374,0.35321942353415686,0.4345645728188178,0.3652863694653437,-0.7366740611959515,-0.06311485542626333,-0.606706305581086,0.28617065636350253,-0.0016540011940060254,0.1622243506029753,0.6907232913176663,0.7373567763270618,-0.12095222796889032,0.10209752850352163,0.46071704141166625,0.3883157894412235,-0.6075030057402859,0.28292789205613184,0.5434320566563355,-0.4568765401439759
2019-03-31,0.4254886964226288,0.3618059129974517,0.508326538730668,0.4093527471266761,-0.6840246291453514,0.05987625353540349,-0.606706305581086,0.20159014536761619,0.254811370997393,0.19552590479893675,0.6592941623314075,0.2491524415879311,0.11153047374205301,0.12939936726027548,0.5396313946917871,0.45123919694076087,-0.6109277227339092,0.32312174677778727,0.5891459770710769,-0.6463221532124951
2019-06-30,0.4900105325545712,0.40362151406922503,0.5922530461177277,0.46902461145538515,-0.6411514323605981,0.12595823445392473,-0.606706305581086,0.1948369193796993,0.22829888054266917,0.24360244314554075,0.764165871288299,0.6942559766620443,0.3061936398587474,0.13267763687974873,0.585260362253185,0.5034027150138816,-0.6040599747520441,0.37556062000438384,0.6394312895272919,-0.8793977851702182
2019-09-30,0.5554734493163941,0.44724404540106305,0.6734535249288792,0.5263816701783126,-0.6645358474427491,0.003388327920209101,-0.6985933601607939,0.24702320491975707,0.06880096092198067,0.2580532381832658,0.7833143293807472,0.7249972591130915,0.4184372992340325,0.22541953099326206,0.6781190192235451,0.6044055112775448,-0.690941565221294,0.4027273911689059,0.6302885054443436,-1.0100070568770048
2019-12-31,0.6185081428024435,0.506339352477915,0.7719924416232504,0.59383077832283,-0.7531163939069159,-0.2067916836272968,-0.8364239420303559,0.2977485699361932,0.17467621489403568,0.2750918278525911,0.8186860376869617,0.8614193328947571,0.42257853120033134,0.2792457610079604,0.7805556922340786,0.698338552298469,-0.8315381019060393,0.41895073556220874,0.5114323123660166,-0.980960017847299
2020-03-31,0.6715341920507218,0.5307730576592682,0.8271313462387863,0.6389299515889489,-0.7423105225707234,-0.36904821892794293,-1.066141578479626,0.39869055932420977,-0.2819687185695599,0.3083381822806797,0.4003019223798756,0.14662492862244206,0.44335258143375356,0.3842168747984295,0.8313014120514141,0.753458790186066,-0.9638200850340733,0.45063229512373926,0.5754318009466539,-0.31873430344113074
2020-06-30,0.8173113804242411,0.8898508174372348,0.7094389789245757,0.6246152481931128,-1.170490520566113,-0.9353782834428318,-1.985012124276706,0.4644374261593963,-0.587996523061174,0.34701689481700626,-1.2741116335184328,-0.9235851279822603,0.7574683779367886,0.8292686730782992,0.9661668061709167,0.8736431361068246,-1.9357071514384072,0.48391087438315894,0.6302885054443436,0.7740754787251776
2020-09-30,0.9608345764362743,1.172055674264951,0.6061336343637032,0.620035636174277,-1.3312835844174236,-1.6519840141966522,-1.985012124276706,0.7502077508776728,-0.19719863225318024,0.3670620810326382,0.1802180866458032,0.15381842117646694,0.8189534198917502,1.2079562550329714,1.1764135269399612,1.0847648841644175,-2.040225118725087,0.50208201831179,0.6531454656517142,-0.3922035052848144
