fecha,Crédito sector privado,Crédito hipotecario,Crédito consumo,Crédito en ME,Tasa activa (TAMN),Tasa referencia BCRP,Tipo de cambio S//$,PBI (índice),Demanda interna
2003-06-01,3.4785619047619,3.4787619047619,3.47957142857143,3.47795238095238,20.6996061634278,,3.4787619047619,77.8514251689058,75.5880984853293
2003-07-01,3.47102142857143,3.47140476190476,3.472,3.47080952380952,21.065090555659,,3.47140476190476,77.4160368562841,75.9919041805302
2003-08-01,3.48031547619048,3.4802619047619,3.48090476190476,3.47961904761905,21.5678262148134,,3.4802619047619,78.1299096609216,70.2759920570888
2003-09-01,3.48089772727273,3.48086363636364,3.48159090909091,3.48013636363636,21.9902186667481,2.75,3.48086363636364,78.3473506201243,71.0010955782464
2003-10-01,3.47817727272727,3.47820454545454,3.47886363636363,3.47754545454546,21.9101541648958,2.75,3.47820454545454,78.9081423431176,75.1419139319032
2003-11-01,3.477635,3.47775,3.47845,3.47705,22.2842521455174,2.5,3.47775,75.2093042489586,74.398288055569
2003-12-01,3.47117619047619,3.47128571428571,3.47214285714286,3.47042857142857,22.2760937300444,2.5,3.47128571428571,75.7521334867385,73.3849800292065
2004-01-01,3.46735238095238,3.46716666666667,3.46771428571429,3.46661904761905,23.6764944144547,2.5,3.46716666666667,78.0919804714245,72.0651148739029
2004-02-01,3.48477,3.4835,3.48415,3.48285,24.1130381784337,2.5,3.4835,78.9393238783818,70.0363047886713
2004-03-01,3.46509130434783,3.4650847826087,3.46591304347826,3.46425652173913,24.52871,2.5,3.4650847826087,79.8571770952032,75.6338661739947
2004-04-01,3.46989,3.46965,3.4703,3.469,24.2267514394757,2.5,3.46965,80.3320593433007,84.5514569000822
2004-05-01,3.48739047619048,3.4872380952381,3.48804761904762,3.48642857142857,24.38548,2.5,3.4872380952381,80.2772246303401,83.2724653055846
2004-06-01,3.4770619047619,3.47716666666667,3.47785714285714,3.47647619047619,25.056,2.5,3.47716666666667,80.1429365509057,81.0174135017429
2004-07-01,3.440715,3.4413,3.4422,3.4404,25.0171427735071,2.5,3.4413,80.5521198262066,74.3663147858255
2004-08-01,3.39494285714286,3.39545238095238,3.39628571428572,3.39461904761905,25.1177419,2.75,3.39545238095238,81.0672958196555,71.603819183374
2004-09-01,3.35744090909091,3.35759090909091,3.35840909090909,3.35677272727273,25.0843,2.75,3.35759090909091,81.9775661948105,70.6862007893643
2004-10-01,3.320635,3.321025,3.32205,3.32,24.9516,3.0,3.321025,81.847518289263,73.8426398653969
2004-11-01,3.30983333333333,3.31016666666667,3.31109523809524,3.3092380952381,24.581,3.0,3.31016666666667,81.5271694080385,79.3274808070223
2004-12-01,3.28129047619048,3.28106818181818,3.28181818181818,3.28031818181818,25.35651,3.0,3.28106818181818,82.7227971483994,77.3306847032145
2005-01-01,3.26785714285714,3.26821428571429,3.26909523809524,3.26733333333333,26.2773405462592,3.0,3.26821428571429,83.076185978987,73.1956276545618
2005-02-01,3.25876,3.258825,3.25965,3.258,26.21,3.0,3.258825,84.7443785929493,75.2727307691021
2005-03-01,3.25928095238095,3.25930952380952,3.2602380952381,3.25838095238095,26.2442891488184,3.0,3.25930952380952,82.4383166663078,74.4187589384417
2005-04-01,3.25795,3.25795,3.25885,3.25705,25.9467750925842,3.0,3.25795,84.5379693056899,84.6102433614579
2005-05-01,3.25499047619048,3.25488095238095,3.25576190476191,3.254,25.7359313355475,3.0,3.25488095238095,85.4047286850945,87.1982981344708
