,Crédito SF sector privado,Crédito empresarial,Crédito consumo,Crédito hipotecario,Tasa activa TAMN,Tasa pasiva TIPMN,Tasa referencia BCRP,Tipo de cambio,Índice BVL,IPC Lima,PBI desestacionalizado,Demanda interna,Reservas internacionales,Liquidez M1,Liquidez M2,Liquidez M3,Tasa interbancaria,IPC Subyacente,embi_peru
2012-06-01,-0.11556663958318635,-0.07419974307035827,-0.041372512413097286,-0.07477512956469812,0.29115223733511936,0.3008459064076726,0.3500728017452767,-0.5022193794236325,0.5004912695841611,-0.08135508822231065,-0.026944193266092174,-0.002557275100671528,0.09914709322499182,-0.03210082223619006,-0.04913845730115837,-0.07445371379493698,0.3254661136434172,-0.11053727085651967,-0.17021946598177431
2012-10-01,-0.09373489533131053,-0.044469872380911074,-0.022650724815375986,-0.04344418747645287,0.24816892550743813,0.35340479057190716,0.4180861607144031,-0.45898798384050976,0.44891384233193954,-0.06099280341736721,-0.005850176408066166,0.006124535325703201,0.1530184033359212,-0.005070964387313474,-0.028139888880909895,-0.05734978391458086,0.390425723731845,-0.0874340141514379,-0.14823405116331825
2013-01-01,-0.06676175863874673,-0.011572594539909255,-0.0042756693967002535,-0.005997035809156998,0.21474791659994585,0.40010293894067134,0.4754280243364962,-0.39538334279131027,0.35874244560199564,-0.03557324325155558,0.018974017235921493,0.01159861056982186,0.21221752516694906,0.028974081761219628,-0.0003062655791963107,-0.03500254337928665,0.4484947719147725,-0.05667794974812907,-0.15772994852680963
2013-04-01,-0.02901336971205719,0.03763261867198535,0.016208914897576907,0.04086769531252777,0.19086926808815272,0.4363033425015904,0.5130968206183208,-0.31845833383124683,0.21648288198046758,0.004931625591964429,0.06050397694282705,0.05513467487756171,0.26429252752837956,0.06358504607586073,0.0270784735928279,-0.01423446383926317,0.5084995606008493,-0.01183320829930796,-0.13115776186647993
2013-07-01,-0.007699602507365591,0.049750244312745426,0.022396791767689953,0.044200616494771805,0.16002732679752318,0.5026800882808174,0.5425941439607794,-0.1827939096337771,0.043074324840546026,0.033561811531982566,0.07159412567335409,0.05891615934484103,0.2449109952401336,0.055171675545493175,0.010752856060505278,-0.010949829637108183,0.5597829526704631,0.01367740001197901,0.022556614408801263
2013-11-01,0.03800400195346842,0.026774210294899965,0.06515641933659196,0.019385139704334926,0.12921231709492714,0.5822204324862658,0.4957816293286121,0.07448282170141171,0.0155657192685302,0.07413067471247375,0.054150574490151815,0.024065541253810184,0.0025424628062855554,0.012619436137824722,0.005264770254259792,0.03491916019319788,0.5585695169218938,0.06451997449262828,0.243658633232255
2014-02-01,0.07231217997712103,0.006924287926790049,0.09171937317070679,-0.006680363806558226,0.10282556346395072,0.591407802998144,0.4116813181516091,0.23153607467479556,0.03211558699737627,0.10218360279484168,0.03609719946295136,-0.05873595647318502,-0.2571394899315937,-0.02524355636294911,0.007245468422469719,0.0687794343998265,0.45873525769767914,0.09814459565812737,0.30822378965194575
2014-05-01,0.05627652138139658,0.0002231007225711526,0.09317382550418155,-0.008294200378223825,0.19046010830376425,0.5729295099872962,0.47910597443346536,0.16688825602272458,0.12624374942224112,0.1040352500117899,0.052809828542876115,-0.04228062153012646,-0.21785694342907175,-0.007517171848703383,0.032195105211797775,0.07105039372674941,0.500299604203951,0.09758080119483868,0.14629885417261476
2014-08-01,0.031663730845251974,-0.009843123016661598,0.08735783083024455,-0.006402921641703549,0.25743961680148486,0.5215120734646705,0.5269866729184846,0.07853933681947883,0.21905740438587565,0.10314918833626786,0.05992081673966561,-0.05399828846665415,-0.11345508442238346,0.006238795297888498,0.05859473412949895,0.06787526959364339,0.5200320802228763,0.09409633525394537,-0.0610219109923112
2014-12-01,0.01698947793062195,-0.017135447130042017,0.0836791903372278,-0.00394259805795006,0.2993230536860947,0.47429071413829954,0.5248377050709585,0.028482532260600803,0.28334126076992794,0.09900894129638466,0.06700664567559288,-0.03551371943283005,-0.028661137772837048,0.01781013488537626,0.07752166982567156,0.06672751356870175,0.4993542557869087,0.09286097295446419,-0.1901928477236577
2015-03-01,0.00886828935613879,-0.018187789837842527,0.08166615078477912,0.0030804138764607904,0.3332117029975864,0.44375547958124706,0.5006904772438198,-0.008674731532957052,0.337936781157925,0.09524495904051201,0.07717853645381721,-0.022603444769549036,0.07431206740621114,0.03453815533980294,0.09135054460959244,0.06784828714404784,0.4534064160720927,0.09128545533801492,-0.2662373647420266
2015-06-01,0.0026338567162001517,-0.019596696740420097,0.08324538047126323,0.011702708139374034,0.3821850580769761,0.42145210290393187,0.42741318745651447,-0.04620864501724286,0.3883377563732314,0.09693241034635683,0.08362477158129884,-0.0054929522461063356,0.18928115327852882,0.05329947723753868,0.11231270255306981,0.07556648397469165,0.35891053134504425,0.09472440496510623,-0.3493282578233609
2015-10-01,0.07149897299897448,0.036980279516574364,0.008398596988067313,-0.002902561374983157,0.1345726564305965,0.394192926755408,0.4273092300341875,0.25580607954772483,-0.40280319784175805,0.0736189568518902,-0.0018539525638643084,-0.028395113447149248,-0.16708477083405854,-0.10538059050012163,-0.09539789949066725,-0.026281720161619955,0.46558924232193694,0.047063865427415544,0.3682818059331842
2016-01-01,0.09768255988623346,0.05160719244713102,0.03913786448895702,0.020515078594553558,0.2724533933224815,0.48232698817887937,0.4272603148096745,0.2920560045351026,-0.3185643098387456,0.11691873740919202,0.03879471593204493,-0.011559778486939409,-0.12374091786788224,-0.06862017254926998,-0.0440070889070559,0.014937753983990935,0.4379767613250974,0.08537349643104812,0.27025814170853885
2016-04-01,0.10929907316274559,0.05821446301613434,0.051319396289951885,0.03219792745667624,0.3647102863850244,0.5097595171394369,0.41029434389004227,0.3126105278909144,-0.25646713897588685,0.1438383439970336,0.0532501724009641,-0.013373353051679991,-0.08975670475479705,-0.055605173758823095,-0.014644662347483732,0.03807334320463381,0.4059267664612815,0.11036091125786135,0.20690975177183416
2016-07-01,0.11389319058214364,0.060028201708978615,0.04741465606866141,0.03112881355072283,0.38871104358108644,0.4976463963932751,0.3904853440298658,0.34190489822369496,-0.24151170420438356,0.15060996009798086,0.05878793069311997,0.020112287439782984,-0.1393398712847924,-0.056024241310072775,-0.012358855436072125,0.04033383641954928,0.3844130646736946,0.11567014883759132,0.2042625223412195
2016-11-01,0.12131002508828197,0.06516175651586044,0.05514926501751392,0.03633956797114876,0.3663227080762104,0.5037612294288305,0.3806217798063529,0.3797340819410647,-0.20621304691749293,0.163769898066553,0.07570754982796275,0.029460154473612773,-0.1568536057097044,-0.038285383407583834,0.0014463227993194647,0.052999441206917915,0.37319846712319377,0.12863299009126553,0.19745852685598927
2017-02-01,0.12551721367893248,0.07044459190970892,0.06757679568636821,0.045665011019401604,0.3305240325608669,0.5324040789077955,0.38512552519936527,0.4058487049406277,-0.15012460835296945,0.18677964781765471,0.1004958166484054,0.014624854028909607,-0.11157240109430865,-0.018772981169955245,0.01964711609433726,0.06698300437507165,0.3695949207296438,0.14996041043130862,0.14965484664151918
2017-05-01,0.11753237790523308,0.07519824444382181,0.068752617244403,0.04549817562730224,0.3017081134856325,0.5631519527788826,0.3880002408534199,0.4322801711544961,-0.0744403622020768,0.20356837482471576,0.1112194860022357,0.02221209696104999,-0.05117256048924453,-0.01720685453321886,0.025742186527902403,0.06533855324105048,0.35850853601478927,0.16479636319184776,0.06912893453993799
